ProjectID,ProjectName,Client,Priority,Budget,StartDate,EndDate,Status,RequiredHeadcount
PRJ00285,ERP Transformation 285,TCS,Medium,7324206,2026-06-07,2026-11-04,Active,156
PRJ00286,Banking Transformation 286,Infosys,Low,2029058,2025-06-15,2027-06-07,Active,150
PRJ00287,AI Transformation 287,HSBC,High,867473,2026-07-13,2027-06-04,Active,236
PRJ00288,ERP Transformation 288,HSBC,Low,3840545,2025-05-18,2026-11-03,Active,144
PRJ00289,ERP Transformation 289,Amazon,Low,2103091,2025-11-09,2027-06-12,On Hold,468
PRJ00290,ERP Transformation 290,Microsoft,Medium,4165413,2025-02-17,2026-07-21,Completed,76
PRJ00291,Retail Transformation 291,Accenture,High,4662454,2025-07-30,2027-05-26,On Hold,370
PRJ00292,ERP Transformation 292,Microsoft,Low,4060961,2026-02-07,2027-07-05,Active,214
PRJ00293,Healthcare Transformation 293,HSBC,Medium,1360653,2024-10-11,2025-10-10,Completed,130
PRJ00294,Retail Transformation 294,IBM,Low,4074520,2024-11-08,2026-03-16,Completed,126
PRJ00295,Retail Transformation 295,Amazon,Low,7798400,2024-07-09,2025-12-30,Completed,176
PRJ00296,ERP Transformation 296,Amazon,High,6130298,2025-10-04,2027-05-23,On Hold,377
PRJ00297,Analytics Transformation 297,Google,High,1697720,2026-02-09,2027-07-02,Active,415
PRJ00298,AI Transformation 298,Google,High,2479672,2025-09-01,2027-05-25,Active,48
PRJ00299,Retail Transformation 299,IBM,High,5575903,2026-02-08,2027-04-16,Active,63
PRJ00300,ERP Transformation 300,Infosys,High,5314404,2024-06-16,2025-12-27,Completed,87
PRJ00301,ERP Transformation 301,HSBC,High,1451675,2024-07-01,2026-02-08,Completed,35
PRJ00302,Healthcare Transformation 302,Deloitte,Low,1487850,2024-06-19,2026-05-11,Completed,35
PRJ00303,Cloud Transformation 303,IBM,Medium,6321531,2024-07-06,2026-04-03,Completed,172
PRJ00304,AI Transformation 304,Google,High,4292008,2025-12-06,2027-01-23,On Hold,313
PRJ00305,Analytics Transformation 305,Accenture,Low,3414414,2025-04-05,2025-12-30,Completed,88
PRJ00306,ERP Transformation 306,HSBC,High,6471087,2025-11-06,2027-07-17,Active,316
PRJ00307,Cloud Transformation 307,Accenture,Low,2381075,2025-08-21,2027-09-04,Active,460
PRJ00308,Cloud Transformation 308,Infosys,High,3527419,2025-06-16,2026-05-04,Completed,52
PRJ00309,Analytics Transformation 309,TCS,High,5633394,2026-02-07,2027-06-09,Active,90
PRJ00310,Retail Transformation 310,Infosys,Low,3945999,2026-07-12,2027-03-20,On Hold,165
PRJ00311,AI Transformation 311,Google,Medium,5888326,2025-06-19,2027-08-03,Active,73
PRJ00312,ERP Transformation 312,Google,Low,5866980,2024-01-10,2025-12-19,Completed,148
PRJ00313,Retail Transformation 313,TCS,High,7474211,2025-07-17,2026-12-18,Active,383
PRJ00314,Cloud Transformation 314,Google,Medium,6450309,2025-01-22,2026-05-28,Completed,80
PRJ00315,Analytics Transformation 315,Microsoft,Medium,2146699,2024-08-09,2025-11-22,Completed,97
PRJ00316,Cloud Transformation 316,HSBC,Low,4975138,2025-11-05,2027-03-02,Active,468
PRJ00317,Healthcare Transformation 317,IBM,High,1936134,2024-10-03,2025-09-20,Completed,73
PRJ00318,ERP Transformation 318,IBM,High,7422583,2025-08-11,2027-08-18,Active,482
PRJ00319,Banking Transformation 319,IBM,Medium,5962074,2026-07-04,2026-11-05,On Hold,66
PRJ00320,Healthcare Transformation 320,Amazon,Medium,7957446,2024-02-28,2025-10-26,Completed,42
PRJ00321,ERP Transformation 321,Infosys,High,7250213,2026-03-19,2027-09-06,Active,70
PRJ00322,Retail Transformation 322,Microsoft,Low,1002586,2026-01-19,2027-03-14,Active,127
PRJ00323,Retail Transformation 323,Oracle,Medium,5589035,2024-03-10,2026-01-14,Completed,132
PRJ00324,Retail Transformation 324,Google,Medium,4819966,2024-09-17,2026-03-04,Completed,139
PRJ00325,Retail Transformation 325,Microsoft,Medium,4271484,2026-03-04,2027-02-13,Active,345
PRJ00326,ERP Transformation 326,Deloitte,Low,4007568,2025-11-07,2026-06-26,Completed,96
PRJ00327,Healthcare Transformation 327,Accenture,High,6901526,2024-12-26,2026-05-25,Completed,68
PRJ00328,Retail Transformation 328,HSBC,Medium,694416,2024-02-05,2025-11-24,Completed,52
PRJ00329,Retail Transformation 329,Oracle,High,5393445,2024-02-28,2026-01-25,Completed,124
PRJ00330,Retail Transformation 330,IBM,Low,6141511,2025-04-08,2026-07-20,Completed,73
PRJ00331,Analytics Transformation 331,Microsoft,Medium,1623527,2025-11-13,2026-10-17,Active,277
PRJ00332,Analytics Transformation 332,Deloitte,Medium,879520,2025-08-07,2027-04-18,On Hold,322
PRJ00333,ERP Transformation 333,TCS,Medium,1116829,2024-10-13,2025-10-27,Completed,175
PRJ00334,Analytics Transformation 334,IBM,Low,5625801,2024-09-17,2025-12-27,Completed,60
PRJ00335,ERP Transformation 335,Accenture,Low,3566928,2024-11-20,2026-06-26,Completed,33
PRJ00336,Healthcare Transformation 336,Deloitte,Low,837682,2026-05-05,2027-08-17,Active,227
PRJ00337,Analytics Transformation 337,Infosys,Low,4333497,2024-12-31,2026-06-05,Completed,164
PRJ00338,ERP Transformation 338,IBM,Medium,1863165,2025-01-05,2025-11-24,Completed,141
PRJ00339,Healthcare Transformation 339,Accenture,Low,7448194,2024-06-04,2025-10-03,Completed,146
PRJ00340,ERP Transformation 340,Infosys,High,3590009,2025-12-07,2027-07-28,Active,418
PRJ00341,Healthcare Transformation 341,HSBC,Low,7815697,2024-10-21,2026-06-19,Completed,156
PRJ00342,Retail Transformation 342,HSBC,Low,7067474,2026-08-01,2027-08-14,Active,35
PRJ00343,Cloud Transformation 343,Amazon,Low,4530296,2025-10-22,2027-08-04,On Hold,51
PRJ00344,Cloud Transformation 344,Oracle,High,5303067,2024-03-06,2025-09-26,Completed,60
PRJ00345,AI Transformation 345,Infosys,Medium,4012983,2026-06-19,2027-01-18,On Hold,108
PRJ00346,Healthcare Transformation 346,IBM,Medium,7821725,2024-09-09,2026-05-02,Completed,87
PRJ00347,Banking Transformation 347,Google,Low,2239308,2025-08-07,2026-11-13,Active,398
PRJ00348,Healthcare Transformation 348,Deloitte,Medium,1952759,2025-09-09,2027-06-14,Active,245
PRJ00349,Healthcare Transformation 349,Accenture,Low,6975919,2025-11-15,2027-04-06,Active,418
PRJ00350,Analytics Transformation 350,HSBC,Low,4561597,2025-08-31,2027-09-07,On Hold,70
PRJ00351,Healthcare Transformation 351,HSBC,High,2996571,2024-12-31,2026-04-10,Completed,82
PRJ00352,Banking Transformation 352,Infosys,Medium,4524882,2025-08-19,2027-01-27,Active,202
PRJ00353,AI Transformation 353,IBM,Low,5056615,2024-12-08,2026-03-27,Completed,78
PRJ00354,Analytics Transformation 354,Google,Medium,852879,2024-08-09,2026-01-24,Completed,98
PRJ00355,Retail Transformation 355,HSBC,Low,4518808,2025-01-17,2026-07-05,Completed,103
PRJ00356,Healthcare Transformation 356,HSBC,High,1416258,2024-08-12,2025-11-12,Completed,156
PRJ00357,Cloud Transformation 357,Amazon,Low,4954698,2025-10-18,2027-02-12,Active,274
PRJ00358,AI Transformation 358,Deloitte,Medium,6517635,2025-08-27,2026-04-17,Completed,127
PRJ00359,AI Transformation 359,TCS,High,3913387,2025-08-31,2026-12-22,Active,181
PRJ00360,Retail Transformation 360,Oracle,Medium,3194149,2025-05-21,2027-06-13,Active,61
PRJ00361,Banking Transformation 361,IBM,High,4989182,2025-10-17,2026-07-15,Completed,63
PRJ00362,Cloud Transformation 362,Deloitte,High,804840,2025-06-05,2026-11-01,Active,346
PRJ00363,Cloud Transformation 363,HSBC,High,577738,2026-01-23,2027-06-23,On Hold,588
PRJ00364,ERP Transformation 364,HSBC,Medium,5879718,2024-12-25,2025-10-10,Completed,140
PRJ00365,Analytics Transformation 365,TCS,Medium,2788723,2025-12-05,2026-12-20,Active,163
PRJ00366,Cloud Transformation 366,Infosys,Low,2658094,2025-01-16,2026-06-18,Completed,82
PRJ00367,Analytics Transformation 367,HSBC,Low,6157286,2026-08-07,2027-04-03,Active,285
PRJ00368,Analytics Transformation 368,Deloitte,Medium,4822487,2026-05-17,2027-08-21,Active,357
PRJ00369,Cloud Transformation 369,Google,Medium,3214567,2025-04-19,2026-01-21,Completed,85
PRJ00370,Retail Transformation 370,Oracle,Medium,6822969,2026-08-11,2027-02-23,On Hold,204
PRJ00371,Healthcare Transformation 371,IBM,High,2694066,2024-10-26,2026-02-27,Completed,102
PRJ00372,AI Transformation 372,Microsoft,Medium,3073678,2025-08-25,2027-02-10,Active,380
PRJ00373,Banking Transformation 373,Microsoft,Low,2974954,2024-07-20,2025-11-30,Completed,78
PRJ00374,Cloud Transformation 374,Infosys,High,4316637,2025-03-15,2026-04-23,Completed,137
PRJ00375,Retail Transformation 375,TCS,Medium,6853116,2025-10-08,2027-04-22,Active,41
PRJ00376,Analytics Transformation 376,Oracle,Low,6831214,2025-09-08,2027-02-01,Active,143
PRJ00377,Healthcare Transformation 377,Infosys,Low,6403618,2025-07-07,2026-11-23,Active,499
PRJ00378,AI Transformation 378,TCS,Low,2195813,2025-01-09,2025-10-30,Completed,76
PRJ00379,ERP Transformation 379,TCS,Medium,1475091,2026-05-30,2027-01-05,Active,255
PRJ00380,Retail Transformation 380,Microsoft,Low,4236979,2025-08-12,2027-08-07,Active,531
PRJ00381,Healthcare Transformation 381,Deloitte,Medium,5230429,2025-12-25,2026-12-19,Active,33
PRJ00382,Banking Transformation 382,Amazon,Medium,2634541,2024-08-13,2025-12-21,Completed,134
PRJ00383,Healthcare Transformation 383,Microsoft,High,4054231,2025-07-29,2027-02-01,Active,183
PRJ00384,AI Transformation 384,Infosys,High,2908291,2025-11-14,2026-07-13,Completed,67
PRJ00385,ERP Transformation 385,Deloitte,Medium,7794903,2024-10-04,2026-06-06,Completed,37
PRJ00386,AI Transformation 386,TCS,High,5982241,2026-02-02,2027-04-23,On Hold,211
PRJ00387,Healthcare Transformation 387,Deloitte,Low,1568264,2026-06-15,2027-01-12,On Hold,351
PRJ00388,Analytics Transformation 388,Amazon,Medium,4383958,2026-04-22,2026-10-14,Active,275
PRJ00389,Healthcare Transformation 389,Deloitte,High,2576281,2025-11-09,2027-05-18,Active,141
PRJ00390,Cloud Transformation 390,Microsoft,High,7290395,2026-05-27,2027-03-03,Active,426
PRJ00391,Cloud Transformation 391,Oracle,High,1346382,2025-10-04,2026-10-21,Active,36
PRJ00392,Banking Transformation 392,Amazon,High,6712108,2025-12-29,2027-08-15,Active,325
PRJ00393,Healthcare Transformation 393,Oracle,High,1675542,2024-11-09,2026-01-02,Completed,104
PRJ00394,Analytics Transformation 394,IBM,Medium,5344209,2026-03-19,2027-02-09,Active,336
PRJ00395,Cloud Transformation 395,HSBC,High,6038263,2025-09-04,2027-03-26,Active,321
PRJ00396,ERP Transformation 396,Amazon,Low,5463263,2026-01-15,2027-03-15,Active,67
PRJ00397,Banking Transformation 397,Deloitte,Low,4657568,2025-05-05,2027-01-10,On Hold,92
PRJ00398,Analytics Transformation 398,TCS,Medium,6341058,2024-07-29,2026-02-19,Completed,97
PRJ00399,Retail Transformation 399,Google,Low,4472163,2025-01-28,2026-05-30,Completed,90
PRJ00400,Analytics Transformation 400,Google,Medium,983384,2024-12-20,2026-04-21,Completed,145
PRJ00401,Healthcare Transformation 401,TCS,High,3758295,2025-04-06,2027-05-14,Active,324
PRJ00402,Banking Transformation 402,Microsoft,Medium,7606269,2024-11-30,2026-05-02,Completed,93
PRJ00403,AI Transformation 403,HSBC,Medium,6151169,2024-11-03,2025-11-13,Completed,124
PRJ00404,Cloud Transformation 404,IBM,Low,6132535,2026-07-25,2026-11-19,Active,129
PRJ00405,Analytics Transformation 405,Accenture,Medium,628628,2025-12-12,2027-01-27,Active,577
PRJ00406,Banking Transformation 406,Infosys,High,6335336,2025-07-13,2026-05-09,Completed,179
PRJ00407,Cloud Transformation 407,TCS,Medium,7005481,2026-05-02,2027-05-04,Active,210
PRJ00408,ERP Transformation 408,HSBC,Medium,4801816,2024-06-20,2025-12-19,Completed,147
PRJ00409,Analytics Transformation 409,Infosys,Medium,2203956,2025-12-19,2026-12-02,On Hold,376
PRJ00410,Healthcare Transformation 410,Oracle,Low,1724088,2025-06-03,2026-01-15,Completed,51
PRJ00411,ERP Transformation 411,Google,High,3267110,2024-03-07,2025-11-04,Completed,32
PRJ00412,Retail Transformation 412,TCS,Low,6244909,2024-08-22,2025-10-27,Completed,150
PRJ00413,Retail Transformation 413,Google,Low,7168737,2024-01-25,2025-12-07,Completed,64
PRJ00414,Cloud Transformation 414,TCS,Low,992680,2024-07-24,2026-06-04,Completed,112
PRJ00415,Analytics Transformation 415,Amazon,High,3959396,2025-06-11,2026-11-20,Active,176
PRJ00416,AI Transformation 416,Google,High,2334753,2024-08-06,2025-09-26,Completed,131
PRJ00417,Healthcare Transformation 417,IBM,Medium,6030477,2026-02-04,2026-11-12,Active,133
PRJ00418,Healthcare Transformation 418,Deloitte,High,640309,2026-08-11,2027-07-12,Active,117
PRJ00419,ERP Transformation 419,Amazon,Low,7321257,2026-03-27,2027-07-14,Active,157
PRJ00420,AI Transformation 420,Microsoft,Low,1749042,2026-01-06,2027-01-12,Active,115
PRJ00421,ERP Transformation 421,Accenture,Medium,7168409,2023-10-13,2025-10-01,Completed,84
PRJ00422,Retail Transformation 422,IBM,High,6348842,2024-06-19,2026-02-04,Completed,128
PRJ00423,AI Transformation 423,Deloitte,Medium,3663927,2025-12-04,2026-07-04,Completed,138
PRJ00424,AI Transformation 424,Google,High,4693116,2026-07-17,2027-09-04,Active,114
PRJ00425,Healthcare Transformation 425,Microsoft,Low,856950,2025-09-18,2027-03-31,Active,302
PRJ00426,ERP Transformation 426,Amazon,High,6241404,2024-01-01,2025-10-28,Completed,95
PRJ00427,Healthcare Transformation 427,Amazon,High,7633903,2025-05-11,2027-07-18,On Hold,497
PRJ00428,Analytics Transformation 428,Deloitte,High,3010516,2025-06-07,2026-04-30,Completed,48
PRJ00429,Banking Transformation 429,TCS,Medium,3719935,2024-09-12,2026-04-13,Completed,54
PRJ00430,Healthcare Transformation 430,Accenture,High,1319447,2026-06-04,2026-11-22,Active,199
PRJ00431,Healthcare Transformation 431,IBM,Low,3827786,2025-01-25,2026-07-07,Completed,172
PRJ00432,Banking Transformation 432,HSBC,Medium,4615480,2026-02-28,2026-10-28,On Hold,22
PRJ00433,Retail Transformation 433,Google,Low,5414676,2024-04-19,2025-11-04,Completed,45
PRJ00434,ERP Transformation 434,Oracle,Low,1116618,2026-07-02,2027-08-25,Active,397
PRJ00435,Banking Transformation 435,Google,Low,3768386,2024-11-05,2026-05-28,Completed,43
PRJ00436,AI Transformation 436,HSBC,Medium,3519206,2025-09-21,2026-06-21,Completed,115
PRJ00437,AI Transformation 437,Google,Medium,4265173,2026-06-23,2026-12-19,Active,161
PRJ00438,AI Transformation 438,Amazon,High,3468848,2025-11-25,2027-05-09,Active,499
PRJ00439,Analytics Transformation 439,Accenture,Medium,603520,2025-10-13,2027-08-15,Active,97
PRJ00440,Banking Transformation 440,TCS,High,5297951,2025-05-07,2026-01-28,Completed,90
PRJ00441,Cloud Transformation 441,Google,Medium,3026072,2025-08-29,2027-04-25,Active,155
PRJ00442,Cloud Transformation 442,Deloitte,Medium,4032462,2025-09-30,2026-06-01,Completed,150
PRJ00443,ERP Transformation 443,Oracle,Low,5743162,2025-01-03,2026-07-06,Completed,120
PRJ00444,Retail Transformation 444,Microsoft,High,3055656,2025-10-03,2027-01-21,Active,143
PRJ00445,Analytics Transformation 445,IBM,Medium,7245082,2024-08-22,2026-01-24,Completed,41
PRJ00446,Retail Transformation 446,IBM,High,3020233,2026-01-01,2027-04-02,On Hold,383
PRJ00447,ERP Transformation 447,Google,Medium,3177120,2024-07-03,2026-05-04,Completed,31
PRJ00448,Healthcare Transformation 448,Oracle,Medium,3654580,2023-11-12,2025-09-24,Completed,94
PRJ00449,AI Transformation 449,IBM,High,5467960,2024-07-21,2026-01-25,Completed,159
PRJ00450,AI Transformation 450,Infosys,Low,2258658,2026-05-14,2027-07-21,On Hold,406
PRJ00451,Analytics Transformation 451,Deloitte,Low,4688458,2025-07-11,2026-03-18,Completed,127
PRJ00452,ERP Transformation 452,Google,Low,4049454,2025-01-09,2026-03-12,Completed,107
PRJ00453,Healthcare Transformation 453,Infosys,Low,3862196,2026-07-08,2027-05-30,Active,79
PRJ00454,Healthcare Transformation 454,Amazon,Medium,6385734,2025-04-29,2027-05-15,Active,168
PRJ00455,Banking Transformation 455,Microsoft,High,6950454,2025-11-13,2027-08-13,On Hold,287
PRJ00456,Banking Transformation 456,IBM,High,5224634,2025-03-01,2026-02-14,Completed,131
PRJ00457,Retail Transformation 457,Accenture,Medium,1388727,2025-09-02,2027-09-09,On Hold,326
PRJ00458,Healthcare Transformation 458,TCS,Low,5369740,2025-02-21,2026-04-04,Completed,124
PRJ00459,ERP Transformation 459,Deloitte,Medium,6978876,2026-04-23,2027-05-29,Active,238
PRJ00460,Cloud Transformation 460,Accenture,High,4549777,2025-08-26,2027-06-26,Active,131
PRJ00461,AI Transformation 461,Google,Medium,3116325,2025-04-22,2026-01-14,Completed,63
PRJ00462,Retail Transformation 462,Accenture,Medium,1318921,2024-05-18,2026-05-01,Completed,173
PRJ00463,AI Transformation 463,HSBC,High,7296332,2024-08-07,2025-12-26,Completed,40
PRJ00464,Banking Transformation 464,Microsoft,Low,7211306,2026-08-03,2027-04-06,Active,90
PRJ00465,Cloud Transformation 465,TCS,High,3276542,2024-05-04,2026-04-12,Completed,178
PRJ00466,Cloud Transformation 466,Deloitte,Low,2047293,2025-04-11,2027-06-06,Active,594
PRJ00467,AI Transformation 467,IBM,High,4271308,2024-05-30,2026-01-05,Completed,75
PRJ00468,Banking Transformation 468,Oracle,High,2834925,2026-01-27,2026-10-15,Active,254
PRJ00469,Healthcare Transformation 469,Microsoft,Low,2068332,2025-06-26,2026-11-14,Active,193
PRJ00470,AI Transformation 470,HSBC,Low,7736319,2024-07-27,2026-05-06,Completed,96
PRJ00471,ERP Transformation 471,IBM,Medium,5628026,2025-04-07,2027-09-05,Active,148
PRJ00472,ERP Transformation 472,Infosys,Low,1947265,2024-12-28,2026-06-17,Completed,73
PRJ00473,Healthcare Transformation 473,IBM,High,6138068,2025-08-18,2027-03-14,Active,276
PRJ00474,ERP Transformation 474,Microsoft,High,3631518,2025-04-17,2026-06-15,Completed,158
PRJ00475,Retail Transformation 475,IBM,High,5321822,2025-11-26,2027-04-29,Active,44
PRJ00476,Banking Transformation 476,TCS,Low,5912833,2024-07-02,2026-05-11,Completed,156
PRJ00477,Cloud Transformation 477,Infosys,Medium,1676892,2026-05-18,2027-07-24,On Hold,71
PRJ00478,Analytics Transformation 478,Accenture,High,4565194,2025-05-07,2025-12-27,Completed,116
PRJ00479,Banking Transformation 479,Infosys,Medium,6243651,2024-03-04,2026-01-30,Completed,149
PRJ00480,Retail Transformation 480,Google,High,5242900,2025-08-16,2027-05-28,Active,229
PRJ00481,AI Transformation 481,HSBC,High,5009787,2024-12-31,2026-04-24,Completed,63
PRJ00482,Healthcare Transformation 482,TCS,High,5304273,2024-02-05,2025-12-23,Completed,52
PRJ00483,Healthcare Transformation 483,Amazon,Low,4202451,2024-05-03,2025-11-09,Completed,111
PRJ00484,AI Transformation 484,Oracle,Medium,7838436,2025-03-26,2027-05-18,Active,217
PRJ00485,ERP Transformation 485,Microsoft,Medium,7758582,2025-12-27,2027-02-24,On Hold,90
PRJ00486,Cloud Transformation 486,IBM,Low,3441304,2025-07-13,2027-02-11,On Hold,143
PRJ00487,Retail Transformation 487,Google,Low,1667987,2025-10-06,2027-09-01,On Hold,128
PRJ00488,Analytics Transformation 488,Amazon,Low,3442853,2025-06-24,2027-01-26,Active,71
PRJ00489,Cloud Transformation 489,Accenture,Low,2954797,2025-10-13,2027-07-15,Active,61
PRJ00490,Banking Transformation 490,Microsoft,High,6792245,2024-04-24,2026-03-31,Completed,165
PRJ00491,ERP Transformation 491,Google,Low,7765195,2025-05-01,2026-11-12,Active,134
PRJ00492,Analytics Transformation 492,Oracle,Low,3794212,2025-01-08,2026-06-01,Completed,140
PRJ00493,ERP Transformation 493,Deloitte,Medium,4291581,2025-10-23,2027-09-01,Active,119
PRJ00494,Healthcare Transformation 494,HSBC,Low,7859471,2024-11-13,2026-06-28,Completed,66
PRJ00495,Healthcare Transformation 495,Amazon,Low,1281328,2024-07-11,2025-12-08,Completed,96
PRJ00496,Banking Transformation 496,Accenture,High,7174630,2025-12-23,2027-09-03,Active,235
PRJ00497,Analytics Transformation 497,Oracle,Medium,2752650,2026-04-25,2027-05-20,Active,191
PRJ00498,Healthcare Transformation 498,IBM,High,5249144,2024-10-13,2026-03-22,Completed,59
PRJ00499,Banking Transformation 499,Amazon,High,1335293,2025-07-07,2027-04-06,Active,182
PRJ00500,AI Transformation 500,Microsoft,High,4201774,2025-06-12,2027-06-05,Active,294
PRJ00501,Cloud Transformation 501,Google,Low,3032231,2025-03-25,2027-05-20,Active,90
PRJ00502,Banking Transformation 502,Accenture,Medium,1191393,2025-06-25,2026-03-27,Completed,110
PRJ00503,AI Transformation 503,Deloitte,Low,3062797,2024-10-02,2025-09-16,Completed,41
PRJ00504,Retail Transformation 504,Microsoft,Low,1298458,2025-07-24,2027-02-09,Active,217
PRJ00505,Cloud Transformation 505,IBM,High,4857414,2025-03-29,2025-12-13,Completed,62
PRJ00506,Banking Transformation 506,Accenture,High,7717057,2026-08-10,2026-10-17,Active,136
PRJ00507,AI Transformation 507,Oracle,Medium,1249363,2024-08-08,2026-06-08,Completed,157
PRJ00508,ERP Transformation 508,Accenture,Medium,1650323,2026-06-23,2026-12-04,Active,110
PRJ00509,AI Transformation 509,TCS,Low,571091,2025-07-16,2026-06-07,Completed,101
PRJ00510,ERP Transformation 510,Oracle,Low,6776933,2026-05-22,2027-05-26,Active,299
PRJ00511,Analytics Transformation 511,Oracle,High,1342762,2024-04-23,2026-01-16,Completed,122
PRJ00512,ERP Transformation 512,Deloitte,Medium,7136032,2024-11-16,2026-06-12,Completed,140
PRJ00513,Cloud Transformation 513,TCS,Low,5533230,2025-07-03,2026-03-26,Completed,102
PRJ00514,Analytics Transformation 514,HSBC,High,4843194,2026-03-22,2026-10-26,Active,140
PRJ00515,ERP Transformation 515,Amazon,High,4651419,2026-05-10,2027-05-01,Active,267
PRJ00516,Banking Transformation 516,IBM,High,4931588,2024-05-22,2026-04-13,Completed,97
PRJ00517,ERP Transformation 517,Google,Medium,7721031,2026-08-08,2027-04-15,On Hold,133
PRJ00518,Healthcare Transformation 518,Google,Medium,6962307,2026-01-11,2027-04-18,Active,237
PRJ00519,AI Transformation 519,HSBC,High,834091,2025-02-11,2025-10-18,Completed,97
PRJ00520,Healthcare Transformation 520,HSBC,Low,6477965,2025-04-16,2027-05-04,On Hold,221
PRJ00521,Banking Transformation 521,Deloitte,High,5873216,2026-01-14,2027-05-17,Active,147
PRJ00522,ERP Transformation 522,Microsoft,Medium,1162880,2025-10-03,2026-12-30,Active,137
PRJ00523,Healthcare Transformation 523,Accenture,Medium,5419391,2026-05-02,2026-12-31,Active,54
PRJ00524,Banking Transformation 524,Microsoft,Medium,6360918,2025-06-13,2027-09-10,Active,424
PRJ00525,Cloud Transformation 525,Microsoft,Medium,1472965,2025-08-18,2026-04-14,Completed,162
PRJ00526,ERP Transformation 526,Google,High,606241,2025-10-07,2026-11-10,Active,220
PRJ00527,Cloud Transformation 527,Infosys,Medium,4887286,2025-08-20,2026-10-18,Active,527
PRJ00528,Cloud Transformation 528,Accenture,High,6789580,2025-06-19,2027-02-22,Active,84
PRJ00529,Analytics Transformation 529,Amazon,Medium,7270511,2026-03-30,2026-12-12,Active,77
PRJ00530,ERP Transformation 530,IBM,Low,1146510,2025-03-19,2025-11-19,Completed,110
PRJ00531,AI Transformation 531,Infosys,Low,1899902,2025-11-26,2027-04-15,Active,384
PRJ00532,Healthcare Transformation 532,Microsoft,High,6714112,2025-06-25,2026-04-06,Completed,141
PRJ00533,Cloud Transformation 533,Amazon,Medium,3553256,2026-07-23,2026-10-19,Active,135
PRJ00534,Analytics Transformation 534,Amazon,Low,7237020,2025-06-01,2026-05-30,Completed,72
PRJ00535,Retail Transformation 535,Oracle,Medium,2582582,2025-07-31,2027-09-13,On Hold,143
PRJ00536,Analytics Transformation 536,Microsoft,Low,3627341,2024-12-02,2026-03-04,Completed,110
PRJ00537,Cloud Transformation 537,TCS,High,3863201,2025-07-21,2026-07-19,Completed,155
PRJ00538,Analytics Transformation 538,HSBC,Medium,1224654,2024-09-06,2025-12-19,Completed,68
PRJ00539,Cloud Transformation 539,HSBC,Low,7080923,2026-08-10,2027-04-19,Active,33
PRJ00540,Retail Transformation 540,Accenture,Low,4638609,2024-07-29,2025-09-30,Completed,172
PRJ00541,Banking Transformation 541,TCS,High,1763042,2025-07-13,2027-01-21,On Hold,112
PRJ00542,Cloud Transformation 542,TCS,Medium,5834666,2025-06-27,2026-01-17,Completed,142
PRJ00543,ERP Transformation 543,Amazon,Low,3656422,2025-05-22,2026-10-17,Active,295
PRJ00544,AI Transformation 544,Oracle,Low,2497894,2025-08-07,2027-03-19,Active,103
PRJ00545,Banking Transformation 545,HSBC,High,868262,2025-08-24,2026-07-15,Completed,43
PRJ00546,Retail Transformation 546,Accenture,Medium,6773834,2025-05-12,2027-07-06,On Hold,122
PRJ00547,Cloud Transformation 547,Deloitte,High,5465181,2024-07-30,2026-06-27,Completed,78
PRJ00548,Cloud Transformation 548,HSBC,Medium,7637981,2026-01-04,2026-12-18,Active,331
PRJ00549,ERP Transformation 549,Infosys,Medium,2459673,2024-08-29,2026-01-25,Completed,68
PRJ00550,Analytics Transformation 550,IBM,High,1803678,2025-06-18,2026-05-03,Completed,43
PRJ00551,ERP Transformation 551,Deloitte,High,4995660,2024-03-10,2025-12-27,Completed,88
PRJ00552,ERP Transformation 552,Infosys,Medium,7651138,2024-07-27,2026-04-30,Completed,76
PRJ00553,Analytics Transformation 553,IBM,High,2303725,2025-01-20,2026-05-26,Completed,39
PRJ00554,AI Transformation 554,Oracle,Medium,3823939,2026-02-28,2026-12-27,Active,20
PRJ00555,ERP Transformation 555,Google,High,3892287,2025-09-02,2027-03-15,Active,202
PRJ00556,Cloud Transformation 556,Microsoft,Medium,1354860,2025-11-03,2027-07-21,Active,272
PRJ00557,AI Transformation 557,Amazon,High,1596518,2026-06-04,2026-12-14,Active,446
PRJ00558,Banking Transformation 558,Microsoft,Low,5416720,2024-07-09,2026-01-21,Completed,150
PRJ00559,AI Transformation 559,Oracle,Low,4219771,2025-12-17,2026-07-07,Completed,96
PRJ00560,AI Transformation 560,Amazon,Medium,924779,2026-06-28,2027-03-31,Active,321
PRJ00561,Analytics Transformation 561,Deloitte,Medium,747315,2024-02-10,2025-10-25,Completed,71
PRJ00562,ERP Transformation 562,Oracle,High,2806714,2025-01-17,2026-01-08,Completed,149
PRJ00563,Healthcare Transformation 563,IBM,Low,2561792,2025-10-27,2026-05-30,Completed,141
PRJ00564,Healthcare Transformation 564,Infosys,High,1235861,2025-12-02,2027-05-11,Active,131
PRJ00565,Cloud Transformation 565,TCS,High,5791151,2024-10-04,2026-06-05,Completed,59
PRJ00566,Retail Transformation 566,Accenture,Medium,5067746,2025-11-09,2026-10-22,On Hold,327
PRJ00567,Healthcare Transformation 567,Accenture,Medium,2768578,2026-02-19,2027-07-29,Active,60
PRJ00568,AI Transformation 568,HSBC,High,7283480,2025-01-24,2026-03-04,Completed,156
PRJ00569,Analytics Transformation 569,IBM,High,1839029,2025-11-16,2027-04-14,On Hold,239
